#,Company,Symbol,Weight,Price,Chg,% Chg
364,Nisource Inc.,NI,0.04%,36.08,-2.87,(-7.38%)
365,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,8.03,0.11,(1.39%)
366,"Mid-America Apartment Communities, Inc.",MAA,0.04%,153.81,-0.01,(-0.01%)
367,Insulet Corporation,PODD,0.04%,250.73,0.00,0.00%
368,Lennox International Inc.,LII,0.04%,548.27,0.41,(0.07%)
369,Snap-on Incorporated,SNA,0.04%,332.04,0.04,(0.01%)
370,"Ptc, Inc",PTC,0.04%,141.82,-2.16,(-1.50%)
371,Regions Financial Corp.,RF,0.04%,   NaN,0.00,(NaN%)
372,"Essex Property Trust, Inc",ESS,0.04%,280.09,8.19,(3.01%)
373,"Williams-Sonoma, Inc.",WSM,0.04%,138.06,0.44,(0.32%)
374,Northern Trust Corp,NTRS,0.04%,87.44,0.00,(0.01%)
375,"Tyson Foods, Inc.",TSN,0.04%,59.56,-1.10,(-1.82%)
376,Clorox Company,CLX,0.04%,137.40,0.60,(0.44%)
377,Biogen Inc.,BIIB,0.04%,116.56,1.27,(1.10%)
378,"Super Micro Computer, Inc.",SMCI,0.04%,32.39,0.49,(1.55%)
379,Packaging Corp of America,PKG,0.04%,186.68,-0.06,(-0.03%)
380,Steel Dynamics Inc,STLD,0.04%,117.29,0.08,(0.07%)
381,"Netapp, Inc",NTAP,0.04%,82.25,0.90,(1.10%)
382,"Ulta Beauty, Inc.",ULTA,0.04%,349.64,0.05,(0.01%)
383,Factset Research Systems,FDS,0.04%,421.15,-6.09,(-1.42%)
384,Domino's Pizza Inc.,DPZ,0.04%,461.50,-0.75,(-0.16%)
385,Genuine Parts Company,GPC,0.03%,111.95,-0.23,(-0.20%)
386,Alliant Energy Corporation,LNT,0.03%,61.75,1.33,(2.20%)
387,Deckers Outdoor Corp,DECK,0.03%,103.46,0.44,(0.43%)
388,"Citizens Financial Group, Inc.",CFG,0.03%,35.63,0.17,(0.47%)
389,"Rollins, Inc.",ROL,0.03%,55.02,0.01,(0.01%)
390,"Evergy, Inc.",EVRG,0.03%,67.45,0.02,(0.04%)
391,"The Cooper Companies, Inc.",COO,0.03%,75.53,-2.70,(-3.46%)
392,"Expeditors International of Washington, Inc.",EXPD,0.03%,105.31,-0.17,(-0.17%)
393,"West Pharmaceutical Services, Inc.",WST,0.03%,204.16,-4.97,(-2.37%)
394,"Principal Financial Group, Inc.",PFG,0.03%,72.90,1.25,(1.75%)
395,Southwest Airlines Co.,LUV,0.03%,   NaN,0.00,(NaN%)
396,Loews Corporation,L,0.03%,82.58,-2.62,(-3.08%)
397,Seagate Technology Holdings Plcs,STX,0.03%,72.87,0.05,(0.07%)
398,"F5, Inc.",FFIV,0.03%,280.55,21.56,(8.33%)
399,On Semiconductor Corp,ON,0.03%,34.50,0.25,(0.73%)
400,"Everest Group, Ltd.",EG,0.03%,348.35,0.75,(0.22%)
401,Omnicom Group Inc.,OMC,0.03%,73.97,2.73,(3.83%)
402,Jabil Inc.,JBL,0.03%,133.84,-0.03,(-0.02%)
403,Lyondellbasell Industries N.v. Class A,LYB,0.03%,56.25,0.31,(0.56%)
404,Dollar Tree Inc.,DLTR,0.03%,73.35,0.14,(0.19%)
405,Trimble Inc.,TRMB,0.03%,58.29,0.01,(0.02%)
406,Jacobs Solutions Inc.,J,0.03%,122.83,6.25,(5.36%)
407,Baxter International Inc.,BAX,0.03%,27.60,-0.22,(-0.79%)
408,Ball Corporation,BALL,0.03%,48.35,1.28,(2.73%)
409,Keycorp,KEY,0.03%,   NaN,0.00,(NaN%)
410,Kimco Realty Corp.,KIM,0.03%,19.01,-1.15,(-5.70%)
411,Avery Dennison Corp.,AVY,0.03%,167.90,-0.25,(-0.15%)
412,"Builders Firstsource, Inc.",BLDR,0.03%,115.80,2.74,(2.42%)
413,Pentair Plc,PNR,0.03%,81.32,0.59,(0.74%)
414,"First Solar, Inc.",FSLR,0.03%,125.07,0.69,(0.55%)
415,Amcor Plcs,AMCR,0.03%,9.25,0.00,0.00%
416,Gen Digital Inc.,GEN,0.03%,24.66,0.36,(1.46%)
417,"Tapestry, Inc.",TPR,0.03%,64.00,1.13,(1.80%)
418,"Healthpeak Properties, Inc.",DOC,0.03%,18.68,0.10,(0.51%)
419,Masco Corporation,MAS,0.03%,60.78,-0.11,(-0.17%)
420,Hologic Inc,HOLX,0.03%,61.30,4.80,(8.49%)
421,"Cf Industries Holding, Inc.",CF,0.03%,73.88,-0.22,(-0.30%)
422,Henry (Jack) & Associates,JKHY,0.03%,162.68,-9.20,(-5.36%)
423,The Estee Lauder Companies Inc. Class A,EL,0.03%,53.24,0.58,(1.09%)
424,Idex Corporation,IEX,0.03%,168.94,4.86,(2.96%)
425,Western Digital Corp.,WDC,0.03%,35.76,0.14,(0.39%)
426,The J.M. Smucker Company,SJM,0.03%,115.09,0.25,(0.22%)
427,"Udr, Inc.",UDR,0.03%,40.85,-0.02,(-0.05%)
428,"Conagra Brands, Inc.",CAG,0.03%,25.01,0.11,(0.42%)
429,"Alexandria Real Estate Equities, Inc.",ARE,0.03%,77.24,0.12,(0.16%)
430,"Teradyne, Inc.",TER,0.03%,71.87,0.71,(1.00%)
431,"Best Buy Company, Inc.",BBY,0.03%,59.63,-0.01,(-0.01%)
432,"Textron, Inc.",TXT,0.03%,69.57,4.59,(7.06%)
433,Camden Property Trust,CPT,0.03%,110.29,0.08,(0.08%)
434,Zebra Technologies Corporation,ZBRA,0.03%,230.00,5.24,(2.33%)
435,Pool Corporation,POOL,0.03%,301.35,0.00,0.00%
436,Aptiv Plc,APTV,0.03%,50.63,-0.09,(-0.17%)
437,"Revvity, Inc.",RVTY,0.03%,91.19,-2.56,(-2.74%)
438,Regency Centers Corporation,REG,0.03%,70.20,-0.01,(-0.01%)
439,Align Technology Inc,ALGN,0.03%,166.05,-1.14,(-0.68%)
440,Juniper Networks Inc,JNPR,0.03%,34.59,0.10,(0.29%)
441,Las Vegas Sands Corp.,LVS,0.02%,32.00,0.14,(0.44%)
442,Akamai Technologies Inc,AKAM,0.02%,73.94,0.13,(0.18%)
443,Allegion Public Limited Company,ALLE,0.02%,125.24,0.11,(0.09%)
444,Fox Corporation Class A,FOXA,0.02%,48.50,0.24,(0.50%)
445,Lkq Corporation,LKQ,0.02%,42.36,0.98,(2.37%)
446,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,89.86,0.00,0.00%
447,Jb Hunt Transport Services Inc,JBHT,0.02%,125.00,0.27,(0.21%)
448,Pinnacle West Capital Corporation,PNW,0.02%,93.41,0.00,0.00%
449,Erie Indemnity Co,ERIE,0.02%,412.08,0.19,(0.05%)
450,Carmax Inc.,KMX,0.02%,65.53,1.42,(2.21%)
451,"Paycom Software, Inc.",PAYC,0.02%,218.19,2.66,(1.23%)
452,Globe Life Inc.,GL,0.02%,121.24,0.02,(0.01%)
453,"Universal Health Services, Inc. Class B",UHS,0.02%,179.93,6.27,(3.61%)
454,Molson Coors Beverage Company Class B,TAP,0.02%,59.10,0.39,(0.66%)
455,Bunge Global Sa,BG,0.02%,77.58,1.20,(1.56%)
456,News Corporation Class A,NWSA,0.02%,25.68,0.00,(0.02%)
457,"Tko Group Holdings, Inc.",TKO,0.02%,152.88,4.92,(3.33%)
458,Nordson Corp,NDSN,0.02%,181.73,1.04,(0.58%)
459,"Assurant, Inc.",AIZ,0.02%,193.57,3.25,(1.71%)
460,"Host Hotels & Resorts, Inc.",HST,0.02%,   NaN,0.00,(NaN%)
461,Incyte Genomics Inc,INCY,0.02%,57.25,-0.48,(-0.83%)
462,"The Interpublic Group of Companies, Inc.",IPG,0.02%,26.55,3.28,(14.07%)
463,"Bxp, Inc.",BXP,0.02%,63.10,0.03,(0.05%)
464,Skyworks Solutions Inc,SWKS,0.02%,56.47,0.61,(1.09%)
465,Solventum Corporation,SOLV,0.02%,65.26,-0.41,(-0.62%)
466,"Stanley Black & Decker, Inc.",SWK,0.02%,56.91,0.09,(0.17%)
467,Eastman Chemical Company,EMN,0.02%,77.49,0.70,(0.91%)
468,Viatris Inc.,VTRS,0.02%,7.38,-0.01,(-0.14%)
469,"Moderna, Inc.",MRNA,0.02%,25.53,0.34,(1.35%)
470,Hormel Foods Corporation,HRL,0.02%,30.38,0.20,(0.66%)
471,"Dayforce, Inc.",DAY,0.02%,54.93,-0.07,(-0.13%)
472,"Epam Systems, Inc.",EPAM,0.02%,147.06,-0.22,(-0.15%)
473,"Huntington Ingalls Industries, Inc.",HII,0.02%,215.70,0.10,(0.05%)
474,Marketaxess Holdings Inc.,MKTX,0.02%,222.61,-0.13,(-0.06%)
475,The Mosaic Company,MOS,0.02%,27.05,0.08,(0.30%)
476,Ralph Lauren Corporation,RL,0.02%,202.09,0.04,(0.02%)
477,Bio-Techne Corp.,TECH,0.02%,49.75,-0.23,(-0.45%)
478,Henry Schein Inc,HSIC,0.02%,63.23,-0.06,(-0.10%)
479,"Walgreens Boots Alliance, Inc",WBA,0.02%,10.81,0.00,(0.05%)
480,"Lamb Weston Holdings, Inc.",LW,0.02%,53.39,-0.01,(-0.02%)
481,A.O. Smith Corporation,AOS,0.02%,62.82,-0.04,(-0.06%)
482,The Campbell's Company,CPB,0.02%,36.57,-0.28,(-0.76%)
483,Aes Corporation,AES,0.02%,10.04,0.08,(0.84%)
484,"Match Group, Inc",MTCH,0.02%,28.83,0.18,(0.61%)
485,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,16.38,0.29,(1.80%)
486,"Enphase Energy, Inc.",ENPH,0.02%,52.14,0.39,(0.75%)
487,Federal Realty Investment Trust,FRT,0.02%,92.85,0.78,(0.84%)
488,"Hasbro, Inc.",HAS,0.02%,   NaN,0.00,(NaN%)
489,Generac Holdings Inc,GNRC,0.01%,111.20,0.55,(0.50%)
490,Mgm Resorts International,MGM,0.01%,28.60,0.14,(0.49%)
491,Wynn Resorts Ltd,WYNN,0.01%,73.70,-0.03,(-0.04%)
492,Paramount Global Class B,PARA,0.01%,   NaN,0.00,(NaN%)
493,Davita Inc.,DVA,0.01%,143.69,2.19,(1.54%)
494,Albemarle Corporation,ALB,0.01%,52.83,0.26,(0.49%)
495,Fox Corporation Class B,FOX,0.01%,44.69,-0.01,(-0.03%)
496,Brown-Forman Corporation Class B,BF.B,0.01%,33.08,0.06,(0.18%)
497,Invesco Ltd,IVZ,0.01%,12.79,0.15,(1.19%)
498,"Franklin Resources, Inc.",BEN,0.01%,17.69,0.14,(0.82%)
499,Apa Corporation,APA,0.01%,15.52,0.15,(0.94%)
500,"Charles River Laboratories International, Inc.",CRL,0.01%,107.62,3.36,(3.23%)
501,"Mohawk Industries, Inc.",MHK,0.01%,98.03,-2.89,(-2.86%)
502,"Caesars Entertainment, Inc.",CZR,0.01%,25.11,0.36,(1.43%)
503,News Corporation Class B,NWS,0.01%,29.75,0.00,0.00%
