#,Company,Symbol,Weight,Price,Chg,% Chg
85,"Eaton Corporation, Plcs",ETN,0.24%,277.15,7.99,(2.97%)
86,Conocophillips,COP,0.24%,86.73,0.36,(0.42%)
87,Chubb Limited,CB,0.23%,286.49,1.42,(0.50%)
88,Medtronic Plc,MDT,0.23%,   NaN,0.00,(NaN%)
89,American Tower Corporation,AMT,0.22%,221.42,3.42,(1.57%)
90,"Elevance Health, Inc.",ELV,0.22%,435.87,0.82,(0.19%)
91,Bristol-Myers Squibb Co.,BMY,0.22%,49.31,-0.05,(-0.10%)
92,The Southern Company,SO,0.22%,89.84,-0.63,(-0.70%)
93,Lockheed Martin Corp.,LMT,0.21%,481.82,4.74,(0.99%)
94,Blackstone Inc.,BX,0.21%,129.28,-0.10,(-0.08%)
95,"Altria Group, Inc.",MO,0.21%,57.48,0.20,(0.36%)
96,"Crowdstrike Holdings, Inc. Class A",CRWD,0.21%,386.86,7.02,(1.85%)
97,Starbucks Corp,SBUX,0.21%,81.55,0.78,(0.97%)
98,Cme Group Inc.,CME,0.21%,259.19,-2.20,(-0.84%)
99,Duke Energy Corporation,DUK,0.20%,121.14,0.79,(0.65%)
100,Intercontinental Exchange Inc.,ICE,0.20%,159.20,0.76,(0.48%)
101,"Prologis, Inc.",PLD,0.20%,   NaN,0.00,(NaN%)
102,Ge Vernova Inc.,GEV,0.20%,334.01,5.85,(1.78%)
103,The Cigna Group,CI,0.20%,329.87,0.43,(0.13%)
104,Kla Corporation,KLAC,0.20%,641.53,-0.67,(-0.10%)
105,Welltower Inc.,WELL,0.20%,148.96,3.33,(2.29%)
106,"Analog Devices, Inc.",ADI,0.19%,178.20,2.27,(1.29%)
107,Lam Research Corp,LRCX,0.19%,66.37,1.22,(1.88%)
108,Mckesson Corporation,MCK,0.19%,694.03,-0.67,(-0.10%)
109,Cvs Health Corporation,CVS,0.19%,68.95,0.40,(0.58%)
110,"Mondelez International, Inc. Class A",MDLZ,0.19%,66.39,-0.09,(-0.14%)
111,Intel Corp,INTC,0.19%,18.96,-0.28,(-1.43%)
112,Arthur J. Gallagher & Co.,AJG,0.19%,343.88,11.22,(3.37%)
113,"Waste Management, Inc.",WM,0.18%,231.11,1.54,(0.67%)
114,Aon Plc Class A,AON,0.18%,369.83,-3.00,(-0.80%)
115,"O'reilly Automotive, Inc.",ORLY,0.18%,"1,371.01",6.65,(0.49%)
116,Amphenol Corporation,APH,0.17%,65.14,0.37,(0.56%)
117,"Micron Technology, Inc.",MU,0.17%,70.07,0.73,(1.06%)
118,The Sherwin-Williams Company,SHW,0.17%,331.32,0.04,(0.01%)
119,Trane Technologies Plc,TT,0.17%,327.50,-3.14,(-0.95%)
120,"Equinix, Inc. Reit",EQIX,0.17%,778.54,-0.14,(-0.02%)
121,Colgate-Palmolive Company,CL,0.17%,93.45,-0.04,(-0.04%)
122,Transdigm Group Incorporated,TDG,0.17%,"1,336.10",-0.20,(-0.02%)
123,Arista Networks,ANET,0.17%,73.40,1.53,(2.13%)
124,3m Company,MMM,0.16%,130.62,0.16,(0.13%)
125,Parker-Hannifin Corporation,PH,0.16%,564.33,4.88,(0.87%)
126,Cadence Design Systems,CDNS,0.16%,256.40,-2.86,(-1.10%)
127,Northrop Grumman Corp.,NOC,0.16%,536.00,-1.51,(-0.28%)
128,"Motorola Solutions, Inc.",MSI,0.16%,419.01,-1.44,(-0.34%)
129,Williams Companies Inc.,WMB,0.16%,   NaN,0.00,(NaN%)
130,Cintas Corp,CTAS,0.16%,204.85,0.13,(0.06%)
131,"United Parcel Service, Inc. Class B",UPS,0.15%,94.89,0.69,(0.73%)
132,Kkr & Co. Inc.,KKR,0.15%,102.78,0.73,(0.72%)
133,General Dynamics Corporation,GD,0.15%,279.84,3.21,(1.16%)
134,Moody's Corporation,MCO,0.15%,430.03,4.34,(1.02%)
135,Zoetis Inc.,ZTS,0.15%,149.55,2.79,(1.90%)
136,"Chipotle Mexican Grill, Inc.",CMG,0.14%,48.37,0.29,(0.60%)
137,Synopsys Inc,SNPS,0.14%,417.48,1.83,(0.44%)
138,Constellation Energy Corporation,CEG,0.14%,204.97,0.78,(0.38%)
139,"Nike, Inc.",NKE,0.14%,54.12,0.57,(1.06%)
140,"Fortinet, Inc.",FTNT,0.14%,98.69,2.62,(2.73%)
141,Capital One Financial,COF,0.14%,162.19,2.13,(1.33%)
142,Newmont Corporation,NEM,0.14%,55.72,-0.23,(-0.42%)
143,Illinois Tool Works Inc.,ITW,0.14%,232.80,3.00,(1.31%)
144,"Doordash, Inc. Class A",DASH,0.13%,179.85,0.46,(0.26%)
145,"Paypal Holdings, Inc.",PYPL,0.13%,61.04,0.80,(1.33%)
146,"Autozone, Inc.",AZO,0.13%,"3,549.85",-17.02,(-0.48%)
147,Pnc Financial Services Group,PNC,0.13%,150.43,-1.11,(-0.73%)
148,"Roper Technologies, Inc.",ROP,0.13%,556.29,0.02,0.00%
149,U.S. Bancorp,USB,0.13%,38.30,0.48,(1.27%)
150,"Ecolab, Inc.",ECL,0.13%,236.25,0.29,(0.12%)
151,"Hca Healthcare, Inc.",HCA,0.13%,332.89,1.89,(0.57%)
152,"Eog Resources, Inc.",EOG,0.13%,109.12,0.88,(0.81%)
153,"Air Products & Chemicals, Inc.",APD,0.13%,261.64,0.32,(0.12%)
154,Regeneron Pharmaceuticals Inc,REGN,0.13%,550.57,1.29,(0.23%)
155,"Becton, Dickinson and Co.",BDX,0.13%,202.80,2.40,(1.20%)
156,"Apollo Global Management, Inc.",APO,0.12%,126.00,0.79,(0.63%)
157,Autodesk Inc,ADSK,0.12%,261.82,1.65,(0.64%)
158,"American Electric Power Company, Inc.",AEP,0.12%,106.35,0.42,(0.40%)
159,Emerson Electric Co.,EMR,0.12%,99.75,1.08,(1.10%)
160,"The Travelers Companies, Inc.",TRV,0.12%,254.95,2.47,(0.98%)
161,Bank of New York Mellon Corporation,BK,0.12%,76.70,0.97,(1.28%)
162,Csx Corporation,CSX,0.12%,27.45,0.10,(0.37%)
163,Aflac Inc.,AFL,0.12%,107.36,0.02,(0.01%)
164,Copart Inc,CPRT,0.12%,61.14,1.70,(2.87%)
165,"Kinder Morgan, Inc.",KMI,0.12%,27.06,0.11,(0.41%)
166,"Oneok, Inc.",OKE,0.11%,86.01,1.21,(1.43%)
167,Johnson Controls International Plc,JCI,0.11%,77.88,1.22,(1.59%)
168,The Allstate Corporation,ALL,0.11%,191.67,-2.58,(-1.33%)
169,Marriot International Class A,MAR,0.11%,220.50,1.71,(0.78%)
170,Hilton Worldwide Holdings Inc.,HLT,0.11%,208.85,-0.25,(-0.12%)
171,Howmet Aerospace Inc.,HWM,0.11%,124.01,0.08,(0.06%)
172,"Workday, Inc. Class A",WDAY,0.11%,227.73,0.01,(0.01%)
173,Realty Income Corporation,O,0.11%,57.45,0.19,(0.32%)
174,Republic Services Inc.,RSG,0.11%,243.52,-0.09,(-0.04%)
175,"Airbnb, Inc. Class A",ABNB,0.11%,113.96,1.32,(1.17%)
176,Norfolk Southern Corp.,NSC,0.11%,216.40,2.37,(1.10%)
177,"Cencora, Inc.",COR,0.11%,283.43,-1.01,(-0.36%)
178,Carrier Global Corporation,CARR,0.11%,61.50,2.31,(3.90%)
179,"American International Group, Inc.",AIG,0.11%,81.16,0.19,(0.23%)
180,Truist Financial Corporation,TFC,0.10%,36.33,0.33,(0.92%)
181,Freeport-Mcmoran Inc.,FCX,0.10%,33.50,0.17,(0.53%)
182,Royal Caribbean Group,RCL,0.10%,191.86,0.16,(0.08%)
183,Paychex Inc,PAYX,0.10%,142.84,-2.73,(-1.87%)
184,Schlumberger Limited,SLB,0.10%,34.13,-0.02,(-0.06%)
185,Exelon Corporation,EXC,0.10%,46.44,-0.07,(-0.16%)
186,Kimberly-Clark Corp.,KMB,0.10%,140.36,0.66,(0.47%)
